original_title,poster_path,date,rate
Grumpier Old Men,/6ksm1sjKMFLbO7UY2i6G1ju9SML.jpg,1995,6.5
Waiting to Exhale,/16XOMpEaLWkrcPqSQqhTmeJuqQl.jpg,1995,6.1
Father of the Bride Part II,/e64sOI48hQXyru7naBFyssKFxVd.jpg,1995,5.7
Sabrina,/jQh15y5YB7bWz1NtffNZmRw0s9D.jpg,1995,6.2
Tom and Huck,/sGO5Qa55p7wTu7FJcX4H4xIVKvS.jpg,1995,5.5
Sudden Death,/eoWvKD60lT95Ss1MYNgVExpo5iU.jpg,1995,5.5
The American President,/lymPNGLZgPHuqM29rKMGV46ANij.jpg,1995,6.5
Dracula: Dead and Loving It,/xve4cgfYItnOhtzLYoTwTVy5FGr.jpg,1995,5.7
Nixon,/cICkmCEiXRhvZmbuAlsA5D9B2rK.jpg,1995,7.0
Cutthroat Island,/odM9973kIv9hcjfHPp6g6BlyTIJ.jpg,1995,5.7
Casino,/xo517ibXBDdYQY81j0WIG7BVcWq.jpg,1995,7.8
Sense and Sensibility,/lA9HTy84Bb6ZwNeyoZKobcMdpMc.jpg,1995,7.2
Four Rooms,/eQs5hh9rxrk1m4xHsIz1w11Ngqb.jpg,1995,6.5
Ace Ventura: When Nature Calls,/wRlGnJhEzcxBjvWtvbjhDSU1cIY.jpg,1995,6.1
Money Train,/jSozzzVOR2kfXgTUuGnbgG2yRFi.jpg,1995,5.4
Copycat,/80czeJGSoik22fhtUM9WzyjUU4r.jpg,1995,6.5
Assassins,/xAx5MP7Dg4y85pyS7atX6eWk4Qd.jpg,1995,6.0
Leaving Las Vegas,/37qHRJxnSh5YkuaN9FgfNnMl3Tj.jpg,1995,7.1
Othello,/qM0BXEQjmnAzlkDZ0tYmV6twqMX.jpg,1995,6.9
Now and Then,/wD6rLdD2Ix3u9YLgE3Do8GyCHoz.jpg,1995,6.6
Persuasion,/si8911IezMvAnQFDvyg1nKzDlD.jpg,1995,7.3
La Cité des Enfants Perdus,/eVo6ewq4akfyJYy3GXkMsLNzEJc.jpg,1995,7.6
摇啊摇，摇到外婆桥,/qcoOCoN7viOhboGwhYXyApdDuiq.jpg,1995,6.4
Dangerous Minds,/y5Jee3QmYOlpqfaPPbfvtdVc5wj.jpg,1995,6.4
Carrington,/a7w6rPdTBgWAx6lnhwHemPx9pEw.jpg,1995,6.3
Dead Man Walking,/y19uRkAHXOHLeySuBVMqnvVnsrA.jpg,1995,7.3
It Takes Two,/l67WJL3Mjce1yoEgL4HheR5v75D.jpg,1995,6.1
Clueless,/i8gEHh2sszB6YWLC0jl559sxAeN.jpg,1995,6.9
"Cry, the Beloved Country",/ymA7HQqRiyo1xrnFFv1ZrwNpwlb.jpg,1995,6.5
Richard III,/e8nuS9GQoSFaqld4hW5erk2ccag.jpg,1995,6.8
Dead Presidents,/2dLyvXVvJXUR9otoqERkYpao1bB.jpg,1995,6.6
Restoration,/aqQdEQ1ZVdzrREJxCoPzTlLgHVw.jpg,1995,6.3
Mortal Kombat,/bdXWixjWVA7Y03PvW74xufrROiJ.jpg,1995,5.4
To Die For,/zCREx8trzejNieDLUsRuwLU0cS3.jpg,1995,6.7
How To Make An American Quilt,/wnWAZHbjX5Wj6hyb0gGmFdMADZk.jpg,1995,6.5
When Night Is Falling,/wnUuYc9XnWrTTAGz8YjjULA3Zmr.jpg,1995,5.9
Guardian Angel,/hwbKoOSUuzuN2AQppnUxwwd4qOD.jpg,1994,6.1
Lamerica,/407nYlg60AOj95lqDZ4tvUTTm1k.jpg,1994,7.3
The Big Green,/erWfSEcjO4LG69Tlm2mED5JMSqH.jpg,1995,5.3
Georgia,/5OTTRuKfiso75xofN8Vl5mRXOQP.jpg,1995,6.1
Home for the Holidays,/97EKLaslQ4gzkvALtqGCDOmsGHk.jpg,1995,6.3
Il postino,/qkq2JfINRQi4Iu9VTMMtQFfmGWZ.jpg,1994,7.6
Le confessionnal,/8RCRrSAY8e3Qn5p9cNv188ogmZQ.jpg,1995,6.2
The Indian in the Cupboard,/l16BtfILyWxYwSqzofL3V1rMSwe.jpg,1995,5.9
Eye for an Eye,/y2lZSdJ1o0VvLegTw3ad6KFtxra.jpg,1996,5.8
Mr. Holland's Opus,/jYEKdpVvRV3KdyHMUVYyg0KTVSY.jpg,1995,6.9
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,/l6D9f9WbxdI4tyCmJGs56y8tQla.jpg,1996,6.2
Two If by Sea,/e0iwJJiLjk8Z6A9TuL3neX504H3.jpg,1996,4.8
Bio-Dome,/1bAUaipv3gDU1pATGwziyq1VTwZ.jpg,1996,4.5
Lawnmower Man 2: Beyond Cyberspace,/i0hBsWBLw64XRehFzCL44PaCs1y.jpg,1996,3.2
Two Bits,/k4jOFtt7NqEtLnoI2Rs3BqKNHtI.jpg,1995,5.6
Gazon maudit,/dDB8mMKRL28gHsRcGPoMQYrzaXg.jpg,1995,6.0
Fair Game,/ew0LrIN5fpxdimrErEy9Yry3Nn2.jpg,1995,4.2
Kicking and Screaming,/urPxxjylNUHmoNcGkMgHStMTxhF.jpg,1995,6.9
Les misérables,/ePJCk8puXx28CtvpSpmezpwfVt8.jpg,1995,6.4
Bed of Roses,/kTEpzjzyeYER1WuCm7Seul4Fatc.jpg,1996,5.2
Big Bully,/wtFekK9VKWujQW9R9c6sYbir6wm.jpg,1996,4.3
Nico Icon,/tuIDKBp92R4tGFOB46MofvakfiY.jpg,1995,6.6
The Crossing Guard,/mMXL84GqES2HYpJ0Zt18I7m6mfU.jpg,1995,6.1
The Juror,/7aXOB0DyZPxNOYbaQ2oiNn64jm3.jpg,1996,5.5
بادکنک سفید,/96UDOJNgJXHmQMJqA79bKS9PR8i.jpg,1995,7.3
Things to Do in Denver When You're Dead,/ysKIolKO0376Nl5DV1fDAAPudEq.jpg,1995,6.7
Antonia,/bIQp2SJrVXiQttv9hXeqliQox0K.jpg,1995,7.0
Once Upon a Time... When We Were Colored,/tsJSlkFSZPQhhVuKrYJXNClYaPD.jpg,1996,5.5
Angels and Insects,/1QyCF6IFoX5WJIYHOkmLa3vzU0r.jpg,1995,6.2
White Squall,/3a5nomeyzJF4gG26HouCtce99ki.jpg,1996,6.3
Dunston Checks In,/lXSWbUA3T2o792SYdbfFKFTcSC1.jpg,1996,5.2
Black Sheep,/2wsaboVhKXpsLchoaXi0oWmQ7xM.jpg,1996,6.0
Nick of Time,/3kYcyD9yAjdjimYlIiGPfdMVbZb.jpg,1995,6.1
The Journey of August King,/hT5CF2RJPAVi9TE4iKxGYAufY4J.jpg,1995,6.3
Vampire in Brooklyn,/bH1v8z12ZU7Y6zANgU1B00a86Co.jpg,1995,4.6
Beautiful Girls,/8leYqrAL6EubYjOCZuO6ELPdLYe.jpg,1996,6.6
A Midwinter's Tale,/6u2N0gn6uUWF4cSdkXmVB8E8q2X.jpg,1995,6.9
Shopping,/jdYL6f0KXnYBcnWnwGtnanJtKlE.jpg,1994,5.7
Heidi Fleiss: Hollywood Madam,/j9k3UTx7OZ0xoCws1oACYQZFF5N.jpg,1995,6.4
City Hall,/ttdjD9NpxXsTJidPT3o1Gk0oTkG.jpg,1996,6.0
Bottle Rocket,/iuO10cRKrMfql5yc8YTgdfHt7gR.jpg,1996,6.8
Mr. Wrong,/8oZW1loLEczN1BU60YobsJJFdSR.jpg,1996,3.8
Unforgettable,/qQek3X5Yv0iLZqQ98KWIKtE3x4m.jpg,1996,5.4
